科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
數學科,建構三種以上相異整數邊長的圓內接多邊形,n倍角公式,本原畢氏三元數,圓內接多邊形 ,前作「建構邊長為整數的圓內接多邊形」[2]中，我建構了多類兩種相異整數邊長的圓內接多邊形的一般式。本研究利用n倍角公式，建構三種以上相異整數邊長且外接圓半徑與所有對角線長均為整數的圓內接多邊形。 我依正整數的分割數將圓內接多邊形分類。除了正多邊形之外，6 類圓內接五邊形、10類圓內接六邊形、14類圓內接七邊形。取畢氏三元數做變數變換，做出所有類型相異且有不同邊長的圓內接多邊形。另外在建構圓內接八邊形、九邊形與十邊形時，我考慮建構邊長相異且其中一邊為外接圓直徑的圓內接四邊形、圓內接五邊形與圓內接六邊形...等，將上述圖形做適當的伸縮與組合，即可以建構邊長皆為相異的整數的圓內接n邊形。研究過程也發現可用同一組一般式可建構不同的圓內接多邊形。最後推得各類非等邊長且外接圓半徑亦為整數的圓內接多邊形皆可尺規作圖。 
數學科,水流曲面與初始物理量值關係之研究 ,平均曲率,曲線曲率,水流曲面,在理想狀態下，由一個圓形且開口面平行於地面的水龍頭開口中流出的水柱會呈現一以 𝑧 軸對稱、切面積往 𝑧 軸負向遞減的圓形疊合曲面。此曲面形狀受到下列三種物理量值影響： 一、水流在水龍頭開口瞬間速度(在此稱之為初速度) 𝑣0 二、水龍頭圓形開口半徑(在此稱為初半徑) 𝑟0 三、重力加速度 𝑔 為了更清楚瞭解此曲面性質及在不同狀況下(三種物理量值改變情況下對曲面的影響)，故提出下列問題在研究中探討： 一、這三種物理量值，對曲面形狀的影響為何？ 二、這三種物理量值，對曲面曲率影響為何？ 
數學科,超不單純的群體旋轉,線性變換,n維度,保距變換, 本研究透過遞迴式及數學歸納法探討n維空間中正多胞體（單純形、超方形、正軸形）之點、線、面的一般化結果。本研究利用頂點圖及線性變換－行列式的方法探討三維空間正多面體至n維空間中凸正多胞體之保距變換方式並使其一般化。另外，本研究也嘗試透過特徵多項式及隸美弗定理分析正多胞體旋轉之旋轉角度。 
數學科,三角形可變動的外西瓦線之共點問題,共點共線,重心座標,Kiepert雙曲線,2001 年 Larry Hoehn 提出了 △𝐴𝐵𝐶 的三個旁接三角形的西瓦線之共點性質，近年的相關研究都是探討邊上作正方形或矩形而構造三個旁接三角形。本研究不限於直角，創新探討角度一般化情形。考慮以 △𝐴𝐵𝐶 頂點為旋轉中心，將三邊分別旋轉實數 𝜑 後，構造出可變動的三個旁接三角形。我們發現可變動的三條外中線交於一點、三條外高交於一點、三條外中垂線交於一點。我們先探討前述三個動點的軌跡，發現著名的 Kiepert 雙曲線，本研究為 Kiepert 雙曲線的新構造法。接續研究任選兩點所構成的直線性質，有趣的是，外高交點與外中垂線交點連線恆通過重心；外高交點與外中線交點連線恆通過九點圓圓心，我們給出共線三點的有向線段比例常數。最後，我們再探討角度與長度同時可變動的三個外西瓦線共點情形。
數學科,多維度空間中隨機漫步回到原點之方法數探討,隨機漫步,排列組合,卡特蘭數,隨機漫步是數學、物理學、化學、經濟學上常需要涉及和探討的問題，其中探討回到原點的方法數和機率是常見的研究方向。本研究嘗試列出不同維度之間回到原點的方法數遞迴關係，發現不同維度移動相同次數時，回到原點方法數為特定的多項式。 參考了文獻Counting Abelian Squares後，本研究證明了特殊的對應關係，得到了多維空間中回到原點方法數的漸近式。儘管並沒有直接以其他較困難的數學探討方法計算，但依據本研究之結論，已可算出多維度下回到原點之方法數 至於在有限空間中回到原點的方法數，本研究僅完成二維平面下，超出邊界不同次數各種情況的討論，並經由程式檢驗公式的正確性。 
數學科,原始畢氏數組數與質數分布關係之探討,原始畢氏數,π函數,Mo ̈bius μ函數 ,"本研究從原始畢氏數組數函數探討質數在整數間的分布密度，我利用質因數個數、通式、座標軸上面積導出原始畢氏數組數函數(最小數字不大於自變數的原始畢氏數組數，我視(A,B,C)和(B,A,C)為相同的原始畢氏數)，參考其他文獻之後，我得到組數函數可以寫成以下形式:𝑓(𝑥)=𝑐∙𝑥∙ln𝑥+𝑂(𝑥)𝑐∈ℝ ，此推測將在此研究中進行證明。因此我可以依此計算𝜋函數近似值，在進行初步計算後，我亦利用差分法算出較為準確的𝑐值，並以此𝑐值估算更為準確的𝜋函數近似值。 "
數學科,複數平面解析應用-探討旋轉三角形對西姆松線交點軌跡之影響,西姆松線,軌跡方程式,複數解析幾何,在三角形的外接圓上取一點，作其對三角形三邊的垂足，此時這三個垂足會共線，稱為西姆松線。本研究主要探討的問題為：當三角形以其外心旋轉180時 (我們稱之為對徑三角形)，將此外接圓上一動點P對兩對徑三角形分別做西姆松線，我們想研究當P點在外接圓上轉動時，兩西姆松線的交點軌跡為何。我們將西姆松線放在複數平面上來分析，這兩條西姆松線會互相垂直，並且它們的交點軌跡為一橢圓。此橢圓會相切於兩對徑三角形的六條邊，因此我們將此橢圓稱作這兩對徑三角形的「六點橢圓」，並探討這個橢圓的性質。
數學科,賽事公平性分析,賽事,排列組合,公平性,在比賽時看到許多選手，雖然本身實力不差，卻因為賽制的編排而無緣晉級決賽，因此本研究透過數學分析單淘汰賽（可以很快的找出勝負）、單循環賽（大部分是使用在人數較少時，但是每位選手都會交手到）、雙淘汰賽（可以讓選手有輸一次的機會，選手就算輸一場還是有機會得到冠軍）、循環賽（主辦單位會融合單淘汰賽、單循環賽、雙淘汰賽來衍生出新的賽制），得到可以選出與實力相當的前三名（準確找出前三名）機率，並且將所有機率加以比較，分析出何種賽制準確找出前三名的機率最高，並且利用比較後的結果，製作一個新的賽程。經過分析得到混和賽的機率與單淘汰賽差不多，但考慮場次的使用並沒有優於單淘汰賽，因此並未符合主辦單位採用此種賽程的依據。但雙淘汰賽卻相反，機率偏高且使用的場次適中，符合主辦單位採用的依據。 
數學科,Shoot!圓錐曲線神射手,二次曲線,射影幾何,線束投射,"本研究主要提出新的、有創意的圓錐曲線製造方法。首先，我們利用兩個全等三角形製造兩個線束，來討論基線夾角與線束中心在平面上的相對位置，用以製造各式的二次曲線。接著，分別在五條等距平行線上取點，固定其中四點為梯形，分類第五個點的位置來對應生成不同的圓錐曲線。然後，簡化為共線的四個點1 A、2 A、3 A、4 A，往線外一點0 B投射，滿足00kk BBkBA=得k B，1,2,3,4k=，依122334 ::AAAAAA的不同比例，來分類4 0 {}kk B=生成的二次曲線。特別的是，由此得到兩個特別的應用：一、得到一個過圓錐曲線中心線段的比例，只要給定1 A、2 A、0 B 三點即可快速尺規作圖得到中心；二、新的拋物線切線的尺規作圖法。最後，我們定義了三個線束特定的對應方式，得到六個對應點共橢圓的性質，以及分類了兩個基圓上點與點的角度與圓心的相對位置，用以製造各式的二次曲線。未來，我們希望能定量化我們的結果，以及探討更多個線束的對應。 "
數學科,空間中的福特球,法里數列,福特圓,福特球,本研究旨在探討由法里數列生成的福特圓、以及與其有相似性，但是三維(或更高)的福特球的相關性質，我們分成三個部分來探討。一、首先我們驗證福特圓的衍生方式是否與法里數列相符合，並發想出另一種福特圓的衍生方法；二、以類似福特圓的方式，定義三維中的福特球、推導出以三顆球衍生第四顆球的公式、且限制其衍生的範圍，爾後由同一方向(以最新三顆球作衍生)、固定某一個球(固定某顆球，以最新兩顆球和固定球衍生)等方式衍生，並且利用空間中的索迪公式，對其半徑倒數與配合半徑倒數化繁後的𝑥、𝑦分子的遞迴關係式作探討；三、在高維度中，同樣定義出福特球(並非球體，只是敘述上方便的統稱)，利用索迪公式對同一方向衍生的半徑倒數數列的遞迴關係式來探討。 
