科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
數學科,以階差級數計算填數字方法數並推導其生成函數,路徑圖,階差級數,生成函數,本研究主要解決的問題為：在任意多邊形上填入特定範圍的正整數，使得相鄰兩邊上的數差1，求符合以上條件的填數字方法數。     為了解決問題，本研究做了兩項突破。第一項是題目的轉變，將問題轉變成路徑問題。第二項則是將路徑數計算的方式（加法原理）之逆運算，求出從原點前往含直線y =－x及其右半平面上的任意格子點之捷徑數，並搭配巴斯卡三角形中的組合數列，成功地推導、證明此問題方法數的公式。     接著本研究將原題延伸，推廣至討論任相鄰兩邊上的數之差為固定某一正整數的情形，也成功地推導、證明其方法數公式。最後，本研究討論原題目的生成函數並成功導出。
數學科,乘二數列及乘五數列的探討 ,數列,遞迴關係式,生成函數,有一數列從1開始，下一項為前一項個別數字乘以m，其中m為一正整數，210m，將此定義為乘m數列，本文以兩大部分來架構出乘二數列及乘五數列的性質，討論數列的區塊結構，進而判斷數字是否為乘二數列或者乘五數列的其中一項。接著再進入針對位數規律的討論：依照乘m數列的規律，讓人聯想到可以透過其位數的有向圖D(directed graph)與鄰接矩陣A(Adjacency matrix)進行轉換，再利用矩陣計算來求證遞迴關係式，進而求出生成函數和特徵方程式，最終獲得乘二數列及乘五數列的位數估計函數，以解決原先獲知此種數列時伴隨之相關問題。研究的最後發展出乘二數列及乘五數列之間的連結，加入了與乘二、乘五、乘十的規則的關係。未來希望能研究其他乘m數列並發展出共通性。 
數學科,蒙日定理共點共線共圓的問題探討與推廣,蒙日定理,共點共線,射影幾何,本研究以蒙日定理「平面上三圓彼此外公切線交點共線，以及彼此內公切線交點與另一圓的圓心的連線共點」出發，在數量、形狀及維度上進行一系列問題的推廣。正如本研究作品名稱「道同」互相為「蒙」，發現對於任意N維空間中的n個圖形，只要圖形互相「位似」，均有蒙日點、蒙日圓或蒙日形等蒙日定理性質。同時，透過蒙日點與各圖形位置及大小的關係，可發現更多共點共線及共圓的有趣性質，其中最令人驚豔的是「分堆的（廣義）蒙日點共線」性質：「k圓蒙日點、n-k圓蒙日點及n圓蒙日點共線」。此外，本研究提出的工具方法及觀點，可應用至許多方面，如「蒙日圓」與Desargues、Pascal和Brianchon等定理的關聯，亦可解釋光學中的薄透鏡成像公式，更將蒙日定理連結Menelaus、Ceva定理，進而能重新詮釋共點共線的幾何定理。 
數學科,表格塗色遊戲之分析,格子對,鴿籠原理,柯西不等式,這份研究所探討的主題源自於1976年USAMO第一大題：將一4×7矩形方格表的每格塗色黑色或白色，欲使所有能構成矩形頂點的四個方格皆不全為同色。試證明其塗色必定失敗、或給出滿足的塗色方式。此研究從上述題目延伸，增加可填入的顏色數量、改變方格表的長寬，甚至將方格表改為三角格子表。研究過程主要運用鴿籠原理、組合數量之計算及柯西不等式來分析。我們已幾乎完整討論完矩形方格表中填入2色、3色，及三角格子表中填入2色的所有情況；並且對於矩形方格表，我們找到了一條判別式，可以判斷一般化的某情況下塗色是否必定失敗，但有部分必定塗色失敗的情況無法由此判別式判斷，需藉由其他方式討論。此外，我們也嘗試從滿足的塗色方式中找尋規律並建立構造的規則。 
數學科,正多邊形三角剖分的探討 ,三角剖分,卡特蘭數,Losanitsch’s Triangle,給定正n邊形，於內部區域新增對角線，使得對角線不交叉且內部區域皆為三角形，則將此圖形稱為正n邊形的一個『三角剖分』。考慮正n邊形的所有三角剖分，已知其數量為卡特蘭數(2) catalan n 。在所有三角剖分的情形中，考慮旋轉與翻轉，將同構的情形視為相同，則將所有不同構的三角剖分總數記為 n D。本文對於正n邊形的不同構三角剖分進行研究，以三種面向進行探討，首先我們以不同構三角剖分的對稱性分類，發現其和化學式 2nCH 的同分異構物有相關性；再者，以相鄰三角形的最大數量進行分類，當相鄰三角形的最大數量為 2 n 、 3 n 、 4 n 與 5n時，得出不同構三角剖分的計算通式；最後，以三個相鄰頂點組成的外圍三角形進行分類，將『恰包含兩個外圍三角形的不同構三角剖分』、『圖論中的毛毛蟲圖（Caterpillar）』以及『化學結構相關的Losanitsch’s triangle』進行深入探討。 
化學科,新式TDESs之研發並應用於貴重金屬回收,深共熔溶劑,鋰鈷氧化物,氧化銦錫,本研究以氯化膽鹼 (choline chloride，ChCl)加上兩種氫鍵予體 (hydrogen-bond donor，HBD)共熔成之新式三混深共熔溶劑 (ternary deep eutectic solvents，TDESs)作為基礎，以循環伏安法 (cyclic voltammetry，CV)及奧士瓦黏度計 (ostwald viscometer)測量其電位窗及黏度後，進一步應用於電化學，將鋰離子電池中的鋰鈷氧化物 (LiCoO2)以及導電玻璃上的薄膜氧化銦錫 (ITO)等金屬鹽類溶於TDES中，再以電沉積方式將金屬回收，並以掃描式電子顯微鏡 (SEM)及能量分散光譜儀 (EDS)分析鍍層表面的形貌及成分。 實驗後得知以甘油及乳酸作為HBDs所製備出的TDES能將LiCoO2溶解，且在368.15 K的溫度下電沉積後得到100 %的純鈷金屬。 另外，將ITO玻璃放入上述之TDES中，在368.15 K的溫度下，約50秒即可溶解，且後可得到100 %的純銦金屬。
化學科,新激發複合體的設計與應用,有機發光二極體,激發複合體,能量轉移,激發複合體 (Exciplex) 是由電子予體 (Donor)和電子受體 (Acceptor)在激發態時所生成具TADF特性的過渡狀態物質，可用於製備高效能的第三代OLEDs。本研究以PVK和自合聚合物4作為Donor，以3種T2T分子作為Acceptor，進行物理性混合後，挑出生成之exciplex的放光波長可與C545T 吸光波長搭配的組合，進行相關特性的鑑定分析與探討，以找出最佳exciplex組合。接者，再以自行製備之exciplex作為主體，加入C545T作為發光體，評估兩者間的FRET行為。目前已找出最佳的exciplex組合與Donor和Acceptor的最佳混合比例且觀察到exciplex和C545T之間有FRET行為，並已將exciplex進一步製成元件，發現的確有發光的現象。雖然效率不高，但是會進一步去優化製程條件。期望研究成果將來能應用在第三代OLED的改良，提供更多實際層面的運用
化學科,使用低成本生物可分解離子液體電解質之鋁空氣二次電池,可充電式,鋁空氣二次電池,離子液體,本研究創新使用一種生物可分解之離子液體作為鋁空氣二次電池之電解質。與文獻上使用的高價且含毒性的咪唑類離子液體相比，本研究合成的離子液體原料為甘油與氯化膽鹼，均為成本低廉且對人體無害的環保材料。延續過去參加新竹市中小學科展題目「可撓性輕量化鋁空氣電池」的成果，此次國際科展的內容更進一步延伸為可充電式的鋁空氣二次電池，除了電解質的創新外，亦包含電極方面的革新，如陽極除了採用純鋁外，另探討使用鈦鋁合金來減緩腐蝕。在空氣電極方面，除了添加活性碳來增加吸附氧氣的表面積外，另添加二氧化錳來增加氧氣還原的活性。 
化學科,高分子包覆之牛血清白蛋白／穀胱甘肽金屬奈米螢光團簇及葡萄糖氧化酶複合材料於葡萄糖檢測與應用,奈米團簇,葡萄糖,正電高分子,本研究使用牛血清白蛋白（BSA）、穀胱甘肽（GSH）、金屬離子合成金屬奈米螢光團簇，並以正電高分子包覆金屬奈米螢光團簇及葡萄糖氧化酶（GOx）形成複合材料。此複合材料中的葡萄糖氧化酶與葡萄糖反應，製造出過氧化氫，以過氧化氫改變金屬奈米螢光團簇表面特性，使螢光強度減弱，間接偵測葡萄糖濃度。 本研究探討出合成金屬奈米螢光團簇之最佳條件——以穀胱甘肽輔助之牛血清白蛋白金奈米團簇（BSA/GSH-Au NCs）可產生最佳螢光效果，並分析出金屬奈米螢光團簇之螢光淬滅效果與葡萄糖濃度成對數函數，其檢量線之相關係數為0.994，且金奈米團簇在血液中對葡萄糖具有專一性，可穩定進行血糖檢測。另外，本研究找出最適當的正電高分子殼聚醣（chitosan）及其最佳包覆濃度0.05%，用於包覆金屬奈米螢光團簇及葡萄糖氧化酶。最後以殼聚醣包覆之牛血清白蛋白∕榖胱甘肽金屬奈米螢光團簇及葡萄糖氧化酶複合材料（BSA/GSH-Au NCs / GOx @ chitosan）進行葡萄糖檢測，其螢光強度變化量與葡萄糖濃度之對數檢量線相關係數為0.971。本研究開發出一套靈敏、快速、穩定的葡萄糖檢測材料，並期待未來能運用於實際的人體血糖檢測上。
化學科,合成三唑之超分子凝膠並討論其凝膠形成機制,超分子,凝膠,螢光,我們成功利用點擊化學(Click Chemistry)合成出C1、C2、C3三個含有三唑(triazole)的化合物，三者的共同特色是具有對稱特性的超分子結構，C2、C3會自組裝成網狀結構並與有機溶劑形成超分子有機凝膠；經由實驗我們以成膠能力最佳的C3作為後續實驗主要研究對象。我們研究的內容包含基本物化性以及周圍環境對凝膠形成的影響，發現溫度、溶劑、濃度都會影響其聚集形貌。而我們對其分子間的作用力進行研究，得知主要以π-π堆疊、氫鍵及凡得瓦力等非共價鍵作用力維繫分子的結構。另外我們發現C3分子在凝膠態與薄膜態放光增強的效應，推測此分子具有AIE 效應(聚集誘發螢光增強)。最後，我們根據實驗結果，推導出C3分子形成凝膠的機制。
