科目,名稱,關鍵詞一,關鍵詞二,關鍵詞三,摘要
數學科,更高維法里數列存在性研究,法里數列,福特圓,高維空間,在這篇作品中，研究了法里數列的性質，並試圖藉由與二維法里數列有關的福特圓，將其推廣到空間中，找到空間中與法里數列相應的數。 研究分成兩個階段，第一階段是舊定義的階段(2021國際科展作品「空間中的福特球」內容)。此階段中，定了空間中有起始三個相切的球，從這三個球繼續做更小的相切球，並找到一些性質。在經過一系列的討論，發現推廣到空間後的福特球有與平面福特圓重疊的部分。因為這個發現，我們就大膽的假設這一大堆球，可以跟另一種定義等價──直接把平面的福特圓變成三維空間的球(也就是起始球是一整排無限多顆的球)，然後做相切小球可以得到一模一樣的結果。第二個階段是由新定義開始的研究，直接將平面的福特圓變成空間中福特球的起始球，使得可以藉由法里數列的性質，快速求得福特球球心表示法，同時也找到了三維空間中的法里數列。最後研究更進一步試著推廣到𝐷維空間(𝐷≥3)中。
數學科,坐標平面上的格點多邊形性質,格點多邊形,坐標平面,方法數,先前有許多人探討了坐標平面上格點正方形、格點直角三角形的性質，卻沒有人用數學的方式將此主題推廣到各種多邊形，格點多邊形性質便一直被歸類於資訊研究，目標變為預測當邊數很多或範圍很大時的估計值，因此本研究的目的在於用數學化的方式探討在坐標平面上每個頂點坐標皆為整數的多邊形性質，並推導出能算出精確值的通解。  本文探討的多邊形包含了凹多邊形及凸多邊形，研究者提出繪製格點多邊形的「迂迴作圖法」並成功推導出格點多邊形的範圍條件、範圍內最多邊的格點多邊形邊數、面積極值、周長極值的通解，並找出了部分多邊形的周長極大值與個數。運用本研究的結果，將有助於在有限區域或空間中依照特定規律設計最大路徑，例如遊樂場的迷宮與雲霄飛車軌道。
數學科,Lill Path之立體圖形應用,Lill Path,立體圖形,直角坐標系 ,本文主要在探討如何將二維Lill Path的性質推廣至三維。和二維Lill Path的結論相同，我們證明若有一自原點出發的射線在多項式函數𝑓(𝑥)的三維Lill Path進行反射（依三維Lill Path反射規則），且此射線通過三維Lill Path終點，則其充要條件為𝑓(𝑥)=0有一實根(−tan𝜃)，其中𝜃為射線與三維Lill Path圖形所夾的角度。我們仿照參考資料[2]的方式，證明了若多項式所對應之三維Lill Path圖形是封閉的，則其充要條件為此多項式有一因式為(𝑥3+1)；同時，我們解決了參考資料[2]中教授所提到的一個問題：當路徑夾角不為𝜋 2，且其三維𝜙-Lill Path圖形為封閉的，則其充要條件為多項式有一因式為 [𝑥3−(cos𝜙)𝑥2−(cos𝜙)𝑥+1]。 
數學科,非同構毛毛蟲的組合特性,毛毛蟲,同構,帕斯卡三角,一個連通圖其結構中若沒有包含任何的圈，則將此圖稱為樹狀圖（tree）。若樹狀圖T的頂點v滿足()1dv=，則v即為T的『葉子點（leaf）』。將一個樹狀圖中以一筆不間斷經過最多頂點的路徑，稱為『主幹』，若此樹狀圖滿足所有的leaf皆與主幹上的點相連，則特別將此樹狀圖稱為『毛毛蟲圖（caterpillar）』。本文的研究是對於有n個頂點，k個leaf的毛毛蟲圖，在不同構的情況下，探討各類毛毛蟲圖的結構變化、對偶關係，在數量上建立遞迴關係、探討組合意義以及相關的應用。
數學科,半正鑲嵌圖形中的捷徑問題,半正鑲嵌,捷徑問題,方法數,本研究從在方格棋盤中走捷徑的問題出發，推廣至由多個相異正多邊形所組成的半正鑲嵌圖形棋盤，其沿格線走捷徑的方法數與最短路徑。研究中，我們針對所有8種1律半正鑲嵌圖形進行分類探討，包括截半六邊形、截角六邊形、扭稜六邊形、小斜方截半六邊形、大斜方截半六邊形、扭稜正方形、異扭稜正方形、截角正方形圖形。我們將每種棋盤進行「轉正」，使它對應於唯一的矩形棋盤，達到「捷徑同構」，因而原本半正鑲嵌圖中的捷徑問題就等價於方格棋盤的捷徑問題。我們將走捷徑方法數的通解分類，發現有組合數類、以及階差與指數混合兩大類，並分析康威表示法與通解的關係。
數學科,分數的拆分,單位分數,Erdös-Straus猜想,Schinzel猜想,"我們已經知道， 任何分數都可以拆成數個單位分數和， 也有各種不同的拆法， 我們發現在不同的拆法中會有各種不同的長度， 例如2 5可拆成1 3 +1 15 ,1 5 +1 6 +1 30，等各種不同的形式。 由於1 𝑛 =1 𝑛+1 +1 𝑛(𝑛+1)公式， 已經拆成了各種單位分數的和之後， 又可拆出各種不同的和。 因此在這份報告中， 我們想找出各種分數最短拆分的方法。 我們的策略是在拆分的過程中，先用「貪心算法」： 𝑏 𝑎 =1 𝑞+1 +𝑏−𝑟 𝑎(𝑞+1)， 其中𝑎=𝑏𝑞+𝑟找出最短拆分長度的一個上界， 再利用Erdös-Straus猜想、或是直接解不定方程， 找出最短拆分長度。 後來我們遇到了Schinzel猜想，我們便開始著手討論有關Erdös-Straus猜想與Schinzel猜想的證明討論，也看了許多關於這兩個猜想的文章。總歸來說，我們討論Schinzel猜想的方法是將正整數𝑛模一個適當的整數，得到一個同餘類，去討論哪些正整數𝑛可以寫成𝑙 𝑛 =1 𝑞+𝑡 +1 𝑦 +1 𝑧的形式，其中𝑞=⌊𝑛 𝑙 ⌋。"
數學科,破解清空盒子彈珠的最佳途徑,整數分割,算幾不等式,取整函數,108學年度台北市普通型高級中等學校數學及自然學科能力競賽數學科筆試(二)試題第四題，題目如下：「小明有A、B兩個盒子，一開始A盒裝有22顆彈珠，而B盒是空的。小明每次操作可以從A盒中拿一顆彈珠放到B盒，或從A盒中移去k顆彈珠，其中k是B盒子中的彈珠數量。小明至少需要幾次操作，才能將A盒中的彈珠完全清空。」 本研究利用算幾不等式及取整符號來推導出當A盒中有m顆單色的彈珠時，我們已能快速地找到清空盒內彈珠的的最少操作次數、B盒最終彈珠數量x及操作方法總數m N，進而能一一列出最少操作次數的所有可能操作m T過程，而其中操作方法總數m N的計算方法即為著名的正整數分割問題。其次，我們推廣至A盒有相同數量的1~4種顏色彈珠時，清空A盒彈珠所需的最少操作次數以及B盒最終彈珠數量。
數學科,探討電梯等待時間的期望值,電梯等待時間,期望值,函數積分,本研究從電梯的運行方式，電梯的加速、等速、減速運動的時間、電梯開關門的時間，透過物理運動學的角度計算電梯等待時間的期望值。有別於一般從排隊理論的角度切入，本研究將電梯視為主體，以函數及微積分作為工具，分析電梯行駛路徑，以及乘客所需的等待時間。接著，研究者討論有一個外人同時要搭電梯的情況，將電梯運行的方式分類討論，以貼近現實生活。研究者希望透過本研究，能使乘客及管理者明白等待電梯所需的時間，進而作為是否增設電梯或限定樓層停靠的依據。應用本研究的結果，可分析百貨公司顧客等待電梯的時間，以提升顧客的購物體驗，或是在醫院中，分析急需使用電梯病患的等待時間，以增加可用的救援時間。
數學科,頂心三角形誕生的奇蹟,頂心三角形,面積比例,三點共線,在第59屆科展作品（中華民國第59屆中小學科學展覽會換心手術）有給定了一個新的名詞(頂心三角形)：平面上給定ABC及一點D，分別以A、B、C三頂點為圓心，DA、DB、DC為半徑畫圓，三圓交於三點E、F、G，再以三交點E、F、G為頂點作EFG，則新EFG稱為ABC在D點的頂心三角形，本篇作品主要探討原三角形與其頂心三角形邊長與面積比例關係，並試著利用這些關係求出頂心線以及其他相關性質。 在我們的作品中，我們求出頂心三角形的三邊長為2sinADCAB、2sinBDABC、2sinCDBCA，也就是說在原三角形為任意三角形，可以得出頂心三角形的邊長與原三角形之間的邊長關係，我們再進一步利用邊長關係求出頂心三角形對原三角形的面積以及面積比例。我們還發現，當D點在原三角形的外接圓上時，頂心三角形會退化為一直線，稱為頂心線，而此頂心線會通過原三角形的垂心是本篇作品最重要的發現。
數學科,「世紀難題-考拉茲猜想」考拉茲猜想中循環的探討,考拉茲猜想,循環,,"自1930年代以來，考拉茲猜想(Collatz conjecture)一直是個未解之謎，其敘述如下：選定一個自然數，如果是偶數，則用2來除；如果是奇數，則乘以3再加1，經過有限次迭代，最後一定得到1。也就是說會得到1,4,2,1,4,2,…的數列，稱之為1-2-4循環。即使此猜想敘述簡單，卻是個橫跨世紀的難題，至近幾年才有一些證明方法出現。     其中一種證明考拉茲猜想的想法為證明所有不符合考拉茲猜想的狀況為假，而其中一種狀況為除了1-2-4循環還有其他組循環，即有些正整數在經過數次考拉茲猜想的計算後，會進入一組非1-2-4循環的循環。     因此，在此篇報告中我們透過討論每一個奇數在經由乘3再加1的計算後，所得到的偶數的2的冪次，再經由反證法證明除了1-2-4循環不會有其他組循環。"
